id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_tested,color_response,figure_response,figure_score,position_target,sound_target,sound_tested,sound_score,position_tested,position_response,position_score,color_tested,color_target,figure_target,simulate,occupation,color_score,sound_response,timestamp
chihuahua,female,24,training_transfer,practice,p1,1,1,29,0,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899398105
chihuahua,female,24,training_transfer,practice,p1,1,1,30,3,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899400689
chihuahua,female,24,training_transfer,practice,p1,1,1,31,0,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899403272
chihuahua,female,24,training_transfer,practice,f2,1,2,1,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899465798
chihuahua,female,24,training_transfer,practice,f2,1,2,2,4,white,triangle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899468381
chihuahua,female,24,training_transfer,practice,f2,1,2,3,4,white,star,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899470964
chihuahua,female,24,training_transfer,practice,f2,1,2,4,4,white,square,,1,,1,0,,,0,,0,,,0,,0,no,Studerende,,,1554899473550
chihuahua,female,24,training_transfer,practice,f2,1,2,5,4,white,triangle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899476131
chihuahua,female,24,training_transfer,practice,f2,1,2,6,4,white,star,,1,,1,0,,,0,,0,,,0,,0,no,Studerende,,,1554899478734
chihuahua,female,24,training_transfer,practice,f2,1,2,7,4,white,star,,1,,1,0,,,0,,0,,,0,,0,no,Studerende,,,1554899481324
chihuahua,female,24,training_transfer,practice,f2,1,2,8,4,white,star,,1,,1,1,,,0,,0,,,0,,1,no,Studerende,,,1554899483918
chihuahua,female,24,training_transfer,practice,f2,1,2,9,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899486498
chihuahua,female,24,training_transfer,practice,f2,1,2,10,4,white,circle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899489082
chihuahua,female,24,training_transfer,practice,f2,1,2,11,4,white,circle,,1,,1,0,,,0,,0,,,0,,0,no,Studerende,,,1554899491671
chihuahua,female,24,training_transfer,practice,f2,1,2,12,4,white,circle,,1,,1,1,,,0,,0,,,0,,1,no,Studerende,,,1554899494267
chihuahua,female,24,training_transfer,practice,f2,1,2,13,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899496832
chihuahua,female,24,training_transfer,practice,f2,1,2,14,4,white,triangle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899499416
chihuahua,female,24,training_transfer,practice,f2,1,2,15,4,white,triangle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899502002
chihuahua,female,24,training_transfer,practice,f2,1,2,16,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899504584
chihuahua,female,24,training_transfer,practice,f2,1,2,17,4,white,triangle,,1,,1,1,,,0,,0,,,0,,1,no,Studerende,,,1554899507177
chihuahua,female,24,training_transfer,practice,f2,1,2,18,4,white,circle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899509752
chihuahua,female,24,training_transfer,practice,f2,1,2,19,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899512333
chihuahua,female,24,training_transfer,practice,f2,1,2,20,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899514901
chihuahua,female,24,training_transfer,practice,f2,1,2,21,4,white,square,,1,,1,1,,,0,,0,,,0,,1,no,Studerende,,,1554899517496
chihuahua,female,24,training_transfer,practice,f2,1,2,22,4,white,triangle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899520071
chihuahua,female,24,training_transfer,practice,f2,1,2,23,4,white,square,,1,,0,0,,,0,,0,,,0,,1,no,Studerende,,,1554899522654
chihuahua,female,24,training_transfer,practice,f2,1,2,24,4,white,circle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899525237
chihuahua,female,24,training_transfer,practice,f2,1,2,25,4,white,star,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899527820
chihuahua,female,24,training_transfer,practice,f2,1,2,26,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899530404
chihuahua,female,24,training_transfer,practice,f2,1,2,27,4,white,star,,1,,1,1,,,0,,0,,,0,,1,no,Studerende,,,1554899532987
chihuahua,female,24,training_transfer,practice,f2,1,2,28,4,white,circle,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899535570
chihuahua,female,24,training_transfer,practice,f2,1,2,29,4,white,star,,1,,0,0,,,0,,0,,,0,,1,no,Studerende,,,1554899538154
chihuahua,female,24,training_transfer,practice,f2,1,2,30,4,white,square,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899540737
chihuahua,female,24,training_transfer,practice,f2,1,2,31,4,white,star,,1,,0,0,,,0,,0,,,0,,1,no,Studerende,,,1554899543320
chihuahua,female,24,training_transfer,practice,f2,1,2,32,4,white,star,,1,,0,1,,,0,,0,,,0,,0,no,Studerende,,,1554899545907
chihuahua,female,24,training_transfer,practice,sc2,2,2,1,4,darkorange,circle,sounds/E.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899584893
chihuahua,female,24,training_transfer,practice,sc2,2,2,2,4,dimgray,circle,sounds/T.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899587477
chihuahua,female,24,training_transfer,practice,sc2,2,2,3,4,green,circle,sounds/D.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899590042
chihuahua,female,24,training_transfer,practice,sc2,2,2,4,4,dimgray,circle,sounds/T.wav,0,0,,,,1,1,0,0,,,1,1,,no,Studerende,0,0,1554899592629
chihuahua,female,24,training_transfer,practice,sc2,2,2,5,4,green,circle,sounds/G.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899595195
chihuahua,female,24,training_transfer,practice,sc2,2,2,6,4,darkorange,circle,sounds/V.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899597778
chihuahua,female,24,training_transfer,practice,sc2,2,2,7,4,blue,circle,sounds/G.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899600344
chihuahua,female,24,training_transfer,practice,sc2,2,2,8,4,darkorange,circle,sounds/T.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899602927
chihuahua,female,24,training_transfer,practice,sc2,2,2,9,4,yellow,circle,sounds/G.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899605510
chihuahua,female,24,training_transfer,practice,sc2,2,2,10,4,white,circle,sounds/D.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899608093
chihuahua,female,24,training_transfer,practice,sc2,2,2,11,4,green,circle,sounds/G.wav,0,1,,,,1,1,0,0,,,1,0,,no,Studerende,0,0,1554899610680
chihuahua,female,24,training_transfer,practice,sc2,2,2,12,4,white,circle,sounds/V.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899613260
chihuahua,female,24,training_transfer,practice,sc2,2,2,13,4,dimgray,circle,sounds/G.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899615847
chihuahua,female,24,training_transfer,practice,sc2,2,2,14,4,white,circle,sounds/G.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899618430
chihuahua,female,24,training_transfer,practice,sc2,2,2,15,4,dimgray,circle,sounds/E.wav,0,1,,,,1,0,0,0,,,1,1,,no,Studerende,1,1,1554899621031
chihuahua,female,24,training_transfer,practice,sc2,2,2,16,4,darkorange,circle,sounds/P.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899623614
chihuahua,female,24,training_transfer,practice,sc2,2,2,17,4,darkorange,circle,sounds/P.wav,0,0,,,,1,0,0,0,,,1,0,,no,Studerende,1,1,1554899626215
chihuahua,female,24,training_transfer,practice,sc2,2,2,18,4,dimgray,circle,sounds/D.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899628798
chihuahua,female,24,training_transfer,practice,sc2,2,2,19,4,red,circle,sounds/C.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899631381
chihuahua,female,24,training_transfer,practice,sc2,2,2,20,4,blue,circle,sounds/E.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899633965
chihuahua,female,24,training_transfer,practice,sc2,2,2,21,4,yellow,circle,sounds/B.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899636548
chihuahua,female,24,training_transfer,practice,sc2,2,2,22,4,green,circle,sounds/P.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899639131
chihuahua,female,24,training_transfer,practice,sc2,2,2,23,4,green,circle,sounds/B.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899641715
chihuahua,female,24,training_transfer,practice,sc2,2,2,24,4,green,circle,sounds/C.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899644300
chihuahua,female,24,training_transfer,practice,sc2,2,2,25,4,darkorange,circle,sounds/D.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899646884
chihuahua,female,24,training_transfer,practice,sc2,2,2,26,4,red,circle,sounds/G.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899649464
chihuahua,female,24,training_transfer,practice,sc2,2,2,27,4,darkorange,circle,sounds/P.wav,0,0,,,,1,0,1,0,,,1,1,,no,Studerende,0,0,1554899652034
chihuahua,female,24,training_transfer,practice,sc2,2,2,28,4,yellow,circle,sounds/C.wav,0,0,,,,1,0,0,0,,,1,0,,no,Studerende,1,1,1554899654633
chihuahua,female,24,training_transfer,practice,sc2,2,2,29,4,red,circle,sounds/P.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899657218
chihuahua,female,24,training_transfer,practice,sc2,2,2,30,4,darkorange,circle,sounds/C.wav,0,0,,,,1,1,0,0,,,1,0,,no,Studerende,1,0,1554899659801
chihuahua,female,24,training_transfer,practice,sc2,2,2,31,4,yellow,circle,sounds/V.wav,0,0,,,,1,0,1,0,,,1,0,,no,Studerende,1,0,1554899662383
chihuahua,female,24,training_transfer,practice,sc2,2,2,32,4,white,circle,sounds/V.wav,0,0,,,,1,0,0,0,,,1,0,,no,Studerende,1,1,1554899664959
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,1,4,red,square,sounds/E.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899694738
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,2,3,red,star,sounds/T.wav,1,1,0,1,0,1,0,1,1,0,1,1,1,0,no,Studerende,1,0,1554899698352
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,3,4,dimgray,triangle,sounds/G.wav,1,0,1,0,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899701977
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,4,4,white,square,sounds/C.wav,1,0,0,1,1,1,0,0,1,0,0,1,0,0,no,Studerende,1,1,1554899705585
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,5,8,white,square,sounds/T.wav,1,0,0,0,0,1,0,1,1,0,1,1,1,1,no,Studerende,0,0,1554899709173
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,6,0,darkorange,square,sounds/T.wav,1,0,0,0,0,1,1,1,1,0,1,1,0,1,no,Studerende,1,1,1554899712784
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,7,0,white,triangle,sounds/B.wav,1,0,0,1,1,1,0,1,1,1,1,1,0,0,no,Studerende,1,0,1554899716395
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,8,1,dimgray,circle,sounds/C.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899719991
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,9,3,white,triangle,sounds/C.wav,1,0,0,1,0,1,1,1,1,0,1,1,0,0,no,Studerende,1,1,1554899723611
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,10,0,white,star,sounds/D.wav,1,0,0,1,0,1,0,1,1,0,1,1,1,0,no,Studerende,0,0,1554899727207
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,11,0,red,triangle,sounds/D.wav,1,0,0,1,1,1,1,1,1,0,0,1,0,0,no,Studerende,1,1,1554899730827
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,12,7,yellow,triangle,sounds/D.wav,1,0,0,0,0,1,1,1,1,0,1,1,0,1,no,Studerende,1,1,1554899734437
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,13,4,white,circle,sounds/P.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899738025
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,14,4,white,circle,sounds/D.wav,1,0,0,0,1,1,0,1,1,1,1,1,1,1,no,Studerende,0,0,1554899741627
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,15,2,white,circle,sounds/B.wav,1,0,0,0,0,1,0,1,1,0,1,1,1,1,no,Studerende,0,0,1554899745226
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,16,6,dimgray,triangle,sounds/V.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899748825
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,17,0,dimgray,star,sounds/C.wav,1,0,0,1,0,1,0,1,1,0,1,1,1,0,no,Studerende,0,0,1554899752427
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,18,0,darkorange,circle,sounds/C.wav,1,0,0,1,1,1,1,1,1,1,1,1,0,0,no,Studerende,1,1,1554899756038
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,19,3,dimgray,circle,sounds/E.wav,1,0,0,0,0,1,0,1,1,0,1,1,0,1,no,Studerende,1,0,1554899759629
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,20,5,yellow,triangle,sounds/C.wav,1,1,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,0,0,1554899763246
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,21,5,dimgray,star,sounds/B.wav,1,0,0,1,1,1,0,1,1,1,1,1,0,0,no,Studerende,1,0,1554899766868
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,22,3,white,square,sounds/B.wav,1,1,0,1,0,1,1,1,1,0,1,1,0,0,no,Studerende,0,1,1554899770479
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,23,8,red,circle,sounds/V.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899774064
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,24,6,dimgray,triangle,sounds/B.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899777663
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,25,4,white,star,sounds/B.wav,1,1,1,0,0,1,1,1,1,0,1,1,0,0,no,Studerende,0,1,1554899781207
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,26,4,darkorange,triangle,sounds/V.wav,1,0,0,1,1,1,0,1,1,0,0,1,0,0,no,Studerende,1,0,1554899784798
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,27,7,dimgray,triangle,sounds/B.wav,1,0,0,0,0,1,0,1,1,0,1,1,0,1,no,Studerende,1,0,1554899788397
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,28,2,yellow,circle,sounds/C.wav,1,0,0,1,0,1,0,1,1,0,1,1,0,0,no,Studerende,1,0,1554899791999
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,29,5,yellow,circle,sounds/T.wav,1,1,0,0,0,1,0,1,1,1,0,1,1,1,no,Studerende,1,0,1554899795614
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,30,5,green,square,sounds/T.wav,1,0,0,1,1,1,1,1,1,0,0,1,0,0,no,Studerende,1,1,1554899799232
chihuahua,female,24,training_transfer,practice,pcfs1,4,1,31,3,green,star,sounds/B.wav,1,1,0,1,0,1,0,1,1,0,1,1,1,0,no,Studerende,1,0,1554899802826
chihuahua,female,24,training_transfer,pretest,pc2,2,2,1,5,blue,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899844921
chihuahua,female,24,training_transfer,pretest,pc2,2,2,2,3,dimgray,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899847504
chihuahua,female,24,training_transfer,pretest,pc2,2,2,3,5,darkorange,circle,,0,0,,,1,,0,,1,0,0,1,0,,no,Studerende,1,,1554899850073
chihuahua,female,24,training_transfer,pretest,pc2,2,2,4,3,white,circle,,0,0,,,1,,0,,1,0,0,1,0,,no,Studerende,1,,1554899852639
chihuahua,female,24,training_transfer,pretest,pc2,2,2,5,4,yellow,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899855222
chihuahua,female,24,training_transfer,pretest,pc2,2,2,6,3,darkorange,circle,,0,1,,,1,,0,,1,0,0,1,0,,no,Studerende,0,,1554899857822
chihuahua,female,24,training_transfer,pretest,pc2,2,2,7,8,white,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899860389
chihuahua,female,24,training_transfer,pretest,pc2,2,2,8,8,darkorange,circle,,0,0,,,0,,0,,1,1,0,1,1,,no,Studerende,0,,1554899862991
chihuahua,female,24,training_transfer,pretest,pc2,2,2,9,8,red,circle,,0,0,,,1,,0,,1,1,1,1,0,,no,Studerende,1,,1554899865582
chihuahua,female,24,training_transfer,pretest,pc2,2,2,10,8,darkorange,circle,,0,0,,,1,,0,,1,1,1,1,1,,no,Studerende,0,,1554899868165
chihuahua,female,24,training_transfer,pretest,pc2,2,2,11,2,red,circle,,0,0,,,0,,0,,1,0,1,1,1,,no,Studerende,0,,1554899870739
chihuahua,female,24,training_transfer,pretest,pc2,2,2,12,1,yellow,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899873320
chihuahua,female,24,training_transfer,pretest,pc2,2,2,13,7,darkorange,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899875892
chihuahua,female,24,training_transfer,pretest,pc2,2,2,14,8,red,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899878475
chihuahua,female,24,training_transfer,pretest,pc2,2,2,15,8,dimgray,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899881041
chihuahua,female,24,training_transfer,pretest,pc2,2,2,16,7,dimgray,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899883627
chihuahua,female,24,training_transfer,pretest,pc2,2,2,17,8,white,circle,,0,0,,,1,,0,,1,0,0,1,0,,no,Studerende,1,,1554899886207
chihuahua,female,24,training_transfer,pretest,pc2,2,2,18,0,yellow,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899888794
chihuahua,female,24,training_transfer,pretest,pc2,2,2,19,8,yellow,circle,,0,1,,,1,,0,,1,0,0,1,0,,no,Studerende,0,,1554899891386
chihuahua,female,24,training_transfer,pretest,pc2,2,2,20,7,green,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899893960
chihuahua,female,24,training_transfer,pretest,pc2,2,2,21,6,yellow,circle,,0,0,,,0,,0,,1,0,1,1,1,,no,Studerende,0,,1554899896543
chihuahua,female,24,training_transfer,pretest,pc2,2,2,22,2,blue,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899899127
chihuahua,female,24,training_transfer,pretest,pc2,2,2,23,4,darkorange,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899901710
chihuahua,female,24,training_transfer,pretest,pc2,2,2,24,2,yellow,circle,,0,0,,,1,,0,,1,1,1,1,0,,no,Studerende,1,,1554899904314
chihuahua,female,24,training_transfer,pretest,pc2,2,2,25,3,darkorange,circle,,0,0,,,0,,0,,1,0,1,1,1,,no,Studerende,0,,1554899906894
chihuahua,female,24,training_transfer,pretest,pc2,2,2,26,5,white,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899909460
chihuahua,female,24,training_transfer,pretest,pc2,2,2,27,6,red,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899912047
chihuahua,female,24,training_transfer,pretest,pc2,2,2,28,7,red,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899914630
chihuahua,female,24,training_transfer,pretest,pc2,2,2,29,5,red,circle,,0,1,,,0,,0,,1,0,1,1,1,,no,Studerende,1,,1554899917213
chihuahua,female,24,training_transfer,pretest,pc2,2,2,30,5,red,circle,,0,1,,,0,,0,,1,0,1,1,1,,no,Studerende,1,,1554899919817
chihuahua,female,24,training_transfer,pretest,pc2,2,2,31,3,dimgray,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899922397
chihuahua,female,24,training_transfer,pretest,pc2,2,2,32,6,red,circle,,0,0,,,0,,0,,1,0,1,1,1,,no,Studerende,0,,1554899924980
chihuahua,female,24,training_transfer,pretest,pc2,2,2,33,3,red,circle,,0,1,,,1,,0,,1,0,0,1,0,,no,Studerende,0,,1554899927578
chihuahua,female,24,training_transfer,pretest,pc2,2,2,34,6,green,circle,,0,0,,,1,,0,,1,0,0,1,0,,no,Studerende,1,,1554899930147
chihuahua,female,24,training_transfer,pretest,pc2,2,2,35,7,blue,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899932712
chihuahua,female,24,training_transfer,pretest,pc2,2,2,36,0,yellow,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899935282
chihuahua,female,24,training_transfer,pretest,pc2,2,2,37,4,yellow,circle,,0,1,,,0,,0,,1,0,1,1,0,,no,Studerende,0,,1554899937886
chihuahua,female,24,training_transfer,pretest,pc2,2,2,38,2,green,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899940463
chihuahua,female,24,training_transfer,pretest,pc2,2,2,39,5,dimgray,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899943049
chihuahua,female,24,training_transfer,pretest,pc2,2,2,40,0,yellow,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899945633
chihuahua,female,24,training_transfer,pretest,pc2,2,2,41,2,red,circle,,0,0,,,0,,0,,1,0,1,1,0,,no,Studerende,1,,1554899948216
chihuahua,female,24,training_transfer,pretest,pc2,2,2,42,5,yellow,circle,,0,1,,,0,,0,,1,0,1,1,1,,no,Studerende,1,,1554899950808
chihuahua,female,24,training_transfer,pretest,pc2,2,2,43,7,red,circle,,0,0,,,0,,0,,1,1,0,1,1,,no,Studerende,0,,1554899953403
chihuahua,female,24,training_transfer,pretest,pc2,2,2,44,1,white,circle,,0,1,,,0,,0,,1,0,1,1,0,,no,Studerende,0,,1554899956001
chihuahua,female,24,training_transfer,pretest,pc2,2,2,45,7,dimgray,circle,,0,0,,,1,,0,,1,0,0,1,0,,no,Studerende,1,,1554899958581
