id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,figure_target,figure_tested,sound_tested,position_target,color_target,position_tested,simulate,sound_response,timestamp,color_response,sound_target,position_score,sound_score,color_score,color_tested,position_response,figure_score,figure_response
and,female,18,training_transfer,practice,p1,1,1,30,5,white,circle,,Studerende,,0,0,0,,1,no,,1555316567099,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,31,8,white,circle,,Studerende,,0,0,0,,1,no,,1555316569682,,,1,,,0,0,,
and,female,18,training_transfer,practice,f2,1,2,1,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316612104,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,2,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316614687,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,3,4,white,square,,Studerende,0,1,0,,,0,no,,1555316617271,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,4,4,white,circle,,Studerende,1,1,0,,,0,no,,1555316619874,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,5,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316622455,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,6,4,white,square,,Studerende,0,1,0,,,0,no,,1555316625057,,,,,,0,,0,1
and,female,18,training_transfer,practice,f2,1,2,7,4,white,square,,Studerende,0,1,0,,,0,no,,1555316627639,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,8,4,white,star,,Studerende,0,1,0,,,0,no,,1555316630208,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,9,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316632791,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,10,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316635366,,,,,,0,,0,1
and,female,18,training_transfer,practice,f2,1,2,11,4,white,circle,,Studerende,1,1,0,,,0,no,,1555316637961,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,12,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316640524,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,13,4,white,star,,Studerende,0,1,0,,,0,no,,1555316643093,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,14,4,white,square,,Studerende,0,1,0,,,0,no,,1555316645673,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,15,4,white,star,,Studerende,1,1,0,,,0,no,,1555316648274,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,16,4,white,square,,Studerende,1,1,0,,,0,no,,1555316650859,,,,,,0,,0,0
and,female,18,training_transfer,practice,f2,1,2,17,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316653426,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,18,4,white,star,,Studerende,0,1,0,,,0,no,,1555316656009,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,19,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316658593,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,20,4,white,star,,Studerende,1,1,0,,,0,no,,1555316661193,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,21,4,white,circle,,Studerende,1,1,0,,,0,no,,1555316663785,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,22,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316666377,,,,,,0,,0,1
and,female,18,training_transfer,practice,f2,1,2,23,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316668961,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,24,4,white,star,,Studerende,0,1,0,,,0,no,,1555316671544,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,25,4,white,star,,Studerende,0,1,0,,,0,no,,1555316674136,,,,,,0,,0,1
and,female,18,training_transfer,practice,f2,1,2,26,4,white,star,,Studerende,1,1,0,,,0,no,,1555316676728,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,27,4,white,star,,Studerende,1,1,0,,,0,no,,1555316679306,,,,,,0,,1,1
and,female,18,training_transfer,practice,f2,1,2,28,4,white,triangle,,Studerende,0,1,0,,,0,no,,1555316681880,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,29,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316684464,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,30,4,white,circle,,Studerende,0,1,0,,,0,no,,1555316687047,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,31,4,white,star,,Studerende,0,1,0,,,0,no,,1555316689630,,,,,,0,,1,0
and,female,18,training_transfer,practice,f2,1,2,32,4,white,square,,Studerende,0,1,0,,,0,no,,1555316692196,,,,,,0,,1,0
and,female,18,training_transfer,practice,sc2,2,2,1,4,red,circle,sounds/T.wav,Studerende,,0,1,,0,0,no,0,1555316727485,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,2,4,dimgray,circle,sounds/P.wav,Studerende,,0,1,,0,0,no,0,1555316730068,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,3,4,white,circle,sounds/E.wav,Studerende,,0,1,,0,0,no,1,1555316732640,0,0,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,4,4,dimgray,circle,sounds/D.wav,Studerende,,0,1,,1,0,no,0,1555316735217,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,5,4,red,circle,sounds/T.wav,Studerende,,0,1,,0,0,no,0,1555316737786,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,6,4,darkorange,circle,sounds/D.wav,Studerende,,0,1,,0,0,no,0,1555316740352,0,1,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,7,4,dimgray,circle,sounds/C.wav,Studerende,,0,1,,0,0,no,0,1555316742921,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,8,4,blue,circle,sounds/D.wav,Studerende,,0,1,,0,0,no,1,1555316745522,0,1,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,9,4,darkorange,circle,sounds/T.wav,Studerende,,0,1,,0,0,no,0,1555316748088,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,10,4,blue,circle,sounds/C.wav,Studerende,,0,1,,1,0,no,0,1555316750671,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,11,4,blue,circle,sounds/P.wav,Studerende,,0,1,,0,0,no,0,1555316753254,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,12,4,darkorange,circle,sounds/B.wav,Studerende,,0,1,,0,0,no,0,1555316755820,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,13,4,white,circle,sounds/C.wav,Studerende,,0,1,,0,0,no,0,1555316758404,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,14,4,yellow,circle,sounds/G.wav,Studerende,,0,1,,0,0,no,0,1555316760978,1,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,15,4,yellow,circle,sounds/C.wav,Studerende,,0,1,,0,0,no,0,1555316763556,0,1,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,16,4,yellow,circle,sounds/G.wav,Studerende,,0,1,,1,0,no,0,1555316766122,0,1,,0,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,17,4,blue,circle,sounds/E.wav,Studerende,,0,1,,0,0,no,0,1555316768705,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,18,4,red,circle,sounds/T.wav,Studerende,,0,1,,0,0,no,1,1555316771306,0,0,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,19,4,yellow,circle,sounds/E.wav,Studerende,,0,1,,0,0,no,0,1555316773889,0,1,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,20,4,white,circle,sounds/G.wav,Studerende,,0,1,,0,0,no,0,1555316776470,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,21,4,yellow,circle,sounds/V.wav,Studerende,,0,1,,1,0,no,0,1555316779041,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,22,4,red,circle,sounds/B.wav,Studerende,,0,1,,0,0,no,0,1555316781625,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,23,4,dimgray,circle,sounds/V.wav,Studerende,,0,1,,0,0,no,1,1555316784216,0,1,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,24,4,red,circle,sounds/G.wav,Studerende,,0,1,,1,0,no,0,1555316786791,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,25,4,green,circle,sounds/V.wav,Studerende,,0,1,,0,0,no,1,1555316789386,0,1,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,26,4,red,circle,sounds/B.wav,Studerende,,0,1,,1,0,no,0,1555316791978,1,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,27,4,dimgray,circle,sounds/D.wav,Studerende,,0,1,,0,0,no,0,1555316794558,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,28,4,red,circle,sounds/P.wav,Studerende,,0,1,,1,0,no,0,1555316797142,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,sc2,2,2,29,4,white,circle,sounds/T.wav,Studerende,,0,1,,0,0,no,1,1555316799746,0,0,,0,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,30,4,dimgray,circle,sounds/P.wav,Studerende,,0,1,,0,0,no,1,1555316802335,0,1,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,31,4,yellow,circle,sounds/C.wav,Studerende,,0,1,,0,0,no,0,1555316804910,0,0,,1,1,1,,,
and,female,18,training_transfer,practice,sc2,2,2,32,4,dimgray,circle,sounds/V.wav,Studerende,,0,1,,1,0,no,0,1555316807493,0,0,,1,0,1,,,
and,female,18,training_transfer,practice,pcfs1,4,1,1,7,blue,triangle,sounds/D.wav,Studerende,0,1,1,0,0,1,no,0,1555316832444,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,2,8,red,square,sounds/E.wav,Studerende,0,1,1,0,0,1,no,0,1555316836046,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,3,0,darkorange,circle,sounds/B.wav,Studerende,0,1,1,0,0,1,no,0,1555316839645,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,4,1,darkorange,triangle,sounds/B.wav,Studerende,0,1,1,0,1,1,no,0,1555316843262,1,1,1,0,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,5,5,blue,square,sounds/V.wav,Studerende,0,1,1,0,0,1,no,0,1555316846863,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,6,0,yellow,circle,sounds/D.wav,Studerende,0,1,1,0,0,1,no,0,1555316850463,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,7,0,white,triangle,sounds/T.wav,Studerende,0,1,1,1,0,1,no,0,1555316854071,0,0,1,1,1,1,1,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,8,5,white,star,sounds/T.wav,Studerende,0,1,1,0,1,1,no,1,1555316857674,0,1,1,1,0,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,9,3,white,triangle,sounds/T.wav,Studerende,0,1,1,0,1,1,no,0,1555316861264,0,1,1,0,0,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,10,3,dimgray,star,sounds/E.wav,Studerende,0,1,1,1,0,1,no,0,1555316864884,1,0,0,1,0,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,11,7,dimgray,circle,sounds/V.wav,Studerende,0,1,1,0,1,1,no,0,1555316868483,0,0,1,1,0,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,12,7,dimgray,star,sounds/T.wav,Studerende,0,1,1,1,1,1,no,0,1555316872099,1,0,1,1,1,1,1,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,13,3,green,star,sounds/P.wav,Studerende,1,1,1,0,0,1,no,0,1555316875713,1,0,1,1,0,1,0,0,0
and,female,18,training_transfer,practice,pcfs1,4,1,14,3,yellow,triangle,sounds/P.wav,Studerende,0,1,1,1,0,1,no,1,1555316879313,0,1,0,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,15,3,darkorange,square,sounds/V.wav,Studerende,0,1,1,1,0,1,no,0,1555316882915,0,0,1,1,1,1,1,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,16,4,yellow,circle,sounds/E.wav,Studerende,0,1,1,0,0,1,no,0,1555316886517,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,17,3,yellow,square,sounds/V.wav,Studerende,0,1,1,0,1,1,no,0,1555316890111,1,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,18,4,green,square,sounds/T.wav,Studerende,1,1,1,0,0,1,no,0,1555316893700,0,0,1,1,1,1,0,0,0
and,female,18,training_transfer,practice,pcfs1,4,1,19,1,darkorange,triangle,sounds/T.wav,Studerende,0,1,1,0,0,1,no,1,1555316897306,0,1,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,20,0,yellow,square,sounds/T.wav,Studerende,0,1,1,0,0,1,no,1,1555316900934,1,1,1,1,0,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,21,4,yellow,square,sounds/E.wav,Studerende,1,1,1,0,1,1,no,0,1555316904557,1,0,1,1,1,1,0,0,0
and,female,18,training_transfer,practice,pcfs1,4,1,22,8,green,triangle,sounds/V.wav,Studerende,0,1,1,0,0,1,no,0,1555316908153,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,23,8,darkorange,star,sounds/P.wav,Studerende,0,1,1,1,0,1,no,0,1555316911770,0,0,1,1,1,1,1,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,24,8,white,star,sounds/P.wav,Studerende,1,1,1,1,0,1,no,0,1555316915369,0,1,0,0,1,1,0,1,1
and,female,18,training_transfer,practice,pcfs1,4,1,25,4,white,star,sounds/E.wav,Studerende,1,1,1,0,1,1,no,0,1555316918989,0,0,1,1,0,1,0,1,1
and,female,18,training_transfer,practice,pcfs1,4,1,26,0,red,square,sounds/G.wav,Studerende,0,1,1,0,0,1,no,0,1555316922588,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,27,7,yellow,square,sounds/B.wav,Studerende,1,1,1,0,0,1,no,1,1555316926204,0,0,1,0,1,1,0,0,0
and,female,18,training_transfer,practice,pcfs1,4,1,28,7,red,square,sounds/T.wav,Studerende,1,1,1,1,0,1,no,0,1555316929818,0,0,0,1,1,1,0,1,1
and,female,18,training_transfer,practice,pcfs1,4,1,29,2,blue,star,sounds/C.wav,Studerende,0,1,1,0,0,1,no,0,1555316933406,0,0,1,1,1,1,0,1,0
and,female,18,training_transfer,practice,pcfs1,4,1,30,1,darkorange,square,sounds/V.wav,Studerende,0,1,1,0,0,1,no,0,1555316937020,0,0,1,1,1,1,0,0,1
and,female,18,training_transfer,practice,pcfs1,4,1,31,4,blue,square,sounds/V.wav,Studerende,1,1,1,0,0,1,no,1,1555316940634,0,1,1,1,1,1,0,1,1
and,female,18,training_transfer,pretest,pc2,2,2,1,4,blue,circle,,Studerende,,0,0,0,0,1,no,,1555316982229,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,2,8,blue,circle,,Studerende,,0,0,0,0,1,no,,1555316984812,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,3,4,blue,circle,,Studerende,,0,0,1,1,1,no,,1555316987421,1,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,4,1,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555316989996,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,5,4,red,circle,,Studerende,,0,0,1,0,1,no,,1555316992591,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,6,2,yellow,circle,,Studerende,,0,0,0,1,1,no,,1555316995175,1,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,7,2,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555316997772,0,,0,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,8,6,yellow,circle,,Studerende,,0,0,0,1,1,no,,1555317000347,0,,1,,0,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,9,4,white,circle,,Studerende,,0,0,0,0,1,no,,1555317002948,0,,0,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,10,1,yellow,circle,,Studerende,,0,0,0,1,1,no,,1555317005531,0,,1,,0,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,11,4,blue,circle,,Studerende,,0,0,1,0,1,no,,1555317008129,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,12,3,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555317010698,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,13,8,green,circle,,Studerende,,0,0,0,0,1,no,,1555317013284,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,14,3,dimgray,circle,,Studerende,,0,0,1,0,1,no,,1555317015876,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,15,3,green,circle,,Studerende,,0,0,0,1,1,no,,1555317018457,0,,0,,0,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,16,1,dimgray,circle,,Studerende,,0,0,0,1,1,no,,1555317021049,1,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,17,4,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555317023617,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,18,0,white,circle,,Studerende,,0,0,0,0,1,no,,1555317026201,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,19,3,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555317028784,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,20,4,blue,circle,,Studerende,,0,0,0,0,1,no,,1555317031385,0,,0,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,21,7,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555317033968,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,22,3,white,circle,,Studerende,,0,0,0,0,1,no,,1555317036551,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,23,3,dimgray,circle,,Studerende,,0,0,0,0,1,no,,1555317039135,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,24,0,white,circle,,Studerende,,0,0,0,1,1,no,,1555317041718,0,,1,,0,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,25,6,white,circle,,Studerende,,0,0,0,0,1,no,,1555317044287,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,26,5,white,circle,,Studerende,,0,0,0,1,1,no,,1555317046885,1,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,27,6,white,circle,,Studerende,,0,0,1,1,1,no,,1555317049480,1,,0,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,28,6,red,circle,,Studerende,,0,0,0,0,1,no,,1555317052054,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,29,6,white,circle,,Studerende,,0,0,1,1,1,no,,1555317054673,1,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,30,6,dimgray,circle,,Studerende,,0,0,1,0,1,no,,1555317057268,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,31,8,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555317059839,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,32,0,white,circle,,Studerende,,0,0,0,0,1,no,,1555317062431,1,,1,,0,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,33,2,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555317065006,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,34,0,green,circle,,Studerende,,0,0,1,0,1,no,,1555317067607,1,,1,,0,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,35,4,green,circle,,Studerende,,0,0,0,0,1,no,,1555317070190,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,36,6,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555317072756,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,37,7,dimgray,circle,,Studerende,,0,0,0,0,1,no,,1555317075339,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,38,6,white,circle,,Studerende,,0,0,1,0,1,no,,1555317077934,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,39,4,white,circle,,Studerende,,0,0,0,0,1,no,,1555317080509,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,40,7,white,circle,,Studerende,,0,0,0,1,1,no,,1555317083101,1,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,41,5,yellow,circle,,Studerende,,0,0,0,0,1,no,,1555317085676,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,42,8,dimgray,circle,,Studerende,,0,0,0,0,1,no,,1555317088259,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,43,0,green,circle,,Studerende,,0,0,0,0,1,no,,1555317090842,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,44,2,green,circle,,Studerende,,0,0,0,0,1,no,,1555317093426,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,45,0,green,circle,,Studerende,,0,0,1,1,1,no,,1555317096023,1,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,46,3,blue,circle,,Studerende,,0,0,0,0,1,no,,1555317098592,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,47,0,white,circle,,Studerende,,0,0,1,0,1,no,,1555317101176,0,,0,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,48,5,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555317103744,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,49,4,green,circle,,Studerende,,0,0,0,0,1,no,,1555317106327,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,50,1,red,circle,,Studerende,,0,0,0,0,1,no,,1555317108894,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,51,7,darkorange,circle,,Studerende,,0,0,0,0,1,no,,1555317111477,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,52,4,red,circle,,Studerende,,0,0,0,1,1,no,,1555317114060,0,,1,,0,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,53,8,white,circle,,Studerende,,0,0,0,0,1,no,,1555317116629,0,,1,,1,1,0,,
and,female,18,training_transfer,pretest,pc2,2,2,54,4,dimgray,circle,,Studerende,,0,0,1,0,1,no,,1555317119224,0,,1,,1,1,1,,
and,female,18,training_transfer,pretest,pc2,2,2,55,8,white,circle,,Studerende,,0,0,1,1,1,no,,1555317121807,0,,1,,0,1,1,,
